"filename", "language", "Java", "comment", "blank", "total"
"d:\Attendance V1\src\Admindashboard\center3.java", "Java", 153, 16, 25, 194
"d:\Attendance V1\src\Admindashboard\img.java", "Java", 55, 2, 18, 75
"d:\Attendance V1\src\Admindashboard\sidebar.java", "Java", 97, 5, 19, 121
"d:\Attendance V1\src\LeaveRequest\LeaveReq.java", "Java", 10, 0, 3, 13
"d:\Attendance V1\src\Login\AdminLogin.java", "Java", 361, 2, 83, 446
"d:\Attendance V1\src\Login\UserLogin.java", "Java", 384, 1, 80, 465
"d:\Attendance V1\src\attendance\HeaderAtt.java", "Java", 62, 4, 12, 78
"d:\Attendance V1\src\attendance\SortByDep.java", "Java", 199, 13, 53, 265
"d:\Attendance V1\src\attendance\SortByEmp.java", "Java", 178, 10, 47, 235
"d:\Attendance V1\src\attendance\attform.java", "Java", 87, 11, 21, 119
"d:\Attendance V1\src\emp_data\EmpAmend.java", "Java", 234, 3, 47, 284
"d:\Attendance V1\src\emp_data\EmpDelete.java", "Java", 164, 23, 32, 219
"d:\Attendance V1\src\emp_data\EmpInput.java", "Java", 599, 40, 124, 763
"d:\Attendance V1\src\emp_data\EmpSearch.java", "Java", 282, 28, 60, 370
"d:\Attendance V1\src\emp_data\EmpSort.java", "Java", 143, 9, 43, 195
"d:\Attendance V1\src\emp_data\EmpTable.java", "Java", 312, 20, 80, 412
"d:\Attendance V1\src\emp_data\Employee.java", "Java", 61, 1, 16, 78
"d:\Attendance V1\src\loginpage\Admin.java", "Java", 31, 2, 10, 43
"d:\Attendance V1\src\loginpage\AdminDatabase.java", "Java", 153, 5, 23, 181
"d:\Attendance V1\src\loginpage\AdminMain.java", "Java", 41, 7, 15, 63
"d:\Attendance V1\src\loginpage\Role.java", "Java", 4, 0, 3, 7
"d:\Attendance V1\src\loginpage\User.java", "Java", 39, 2, 13, 54
"d:\Attendance V1\src\loginpage\UserDatabase.java", "Java", 218, 20, 54, 292
"d:\Attendance V1\src\test\CustomTextField.java", "Java", 18, 16, 13, 47
"d:\Attendance V1\src\test\TimeDifferenceExample.java", "Java", 19, 5, 7, 31
"d:\Attendance V1\src\test\Timeutil.java", "Java", 31, 2, 9, 42
"d:\Attendance V1\src\test\asdas.java", "Java", 82, 6, 17, 105
"d:\Attendance V1\src\test\extend.java", "Java", 48, 4, 12, 64
"d:\Attendance V1\src\test\test.java", "Java", 22, 2, 6, 30
"d:\Attendance V1\src\userPage\UserLeaveReq.java", "Java", 117, 2, 19, 138
"d:\Attendance V1\src\userPage\userPage.java", "Java", 215, 18, 55, 288
"d:\Attendance V1\src\userPage\viewRecord.java", "Java", 56, 5, 15, 76
"d:\Attendance V1\src\utils\ConvertTimeFormat.java", "Java", 45, 2, 7, 54
"d:\Attendance V1\src\utils\DatabaseConnection.java", "Java", 13, 0, 5, 18
"d:\Attendance V1\src\utils\DialogUtils.java", "Java", 42, 2, 12, 56
"d:\Attendance V1\src\utils\EarlyResult.java", "Java", 16, 0, 6, 22
"d:\Attendance V1\src\utils\GetTimeDiff.java", "Java", 24, 15, 15, 54
"d:\Attendance V1\src\utils\ImgUtils\ImageDisplayWithResize.java", "Java", 98, 17, 29, 144
"d:\Attendance V1\src\utils\ImgUtils\ImageUploaderDragDrop.java", "Java", 117, 6, 21, 144
"d:\Attendance V1\src\utils\LateResult.java", "Java", 15, 0, 5, 20
"d:\Attendance V1\src\utils\TableUtils.java", "Java", 137, 16, 34, 187
"Total", "-", 4982, 342, 1168, 6492